name,title,origin,weaponType,moveType,rarities,releaseDate,assets/portrait/75px,assets/portrait/113px,assets/portrait/150px,skills/0/name,skills/0/default,skills/0/rarity,skills/1/name,skills/1/default,skills/1/rarity,skills/2/name,skills/2/default,skills/2/rarity,skills/3/name,skills/3/default,skills/3/rarity,skills/4/name,skills/4/default,skills/4/rarity,skills/5/name,skills/5/default,skills/5/rarity,skills/6/name,skills/6/rarity,skills/7/name,skills/7/rarity,skills/8/name,skills/8/rarity,skills/9/name,skills/9/rarity,skills/10/name,skills/10/rarity,skills/11/name,skills/11/rarity,stats/1/4/hp,stats/1/4/atk,stats/1/4/spd,stats/1/4/def,stats/1/4/res,stats/1/5/hp,stats/1/5/atk,stats/1/5/spd,stats/1/5/def,stats/1/5/res,stats/40/4/hp/0,stats/40/4/hp/1,stats/40/4/hp/2,stats/40/4/atk/0,stats/40/4/atk/1,stats/40/4/atk/2,stats/40/4/spd/0,stats/40/4/spd/1,stats/40/4/spd/2,stats/40/4/def/0,stats/40/4/def/1,stats/40/4/def/2,stats/40/4/res/0,stats/40/4/res/1,stats/40/4/res/2,stats/40/5/hp/0,stats/40/5/hp/1,stats/40/5/hp/2,stats/40/5/atk/0,stats/40/5/atk/1,stats/40/5/atk/2,stats/40/5/spd/0,stats/40/5/spd/1,stats/40/5/spd/2,stats/40/5/def/0,stats/40/5/def/1,stats/40/5/def/2,stats/40/5/res/0,stats/40/5/res/1,stats/40/5/res/2,stats/1/2/hp,stats/1/2/atk,stats/1/2/spd,stats/1/2/def,stats/1/2/res,stats/1/3/hp,stats/1/3/atk,stats/1/3/spd,stats/1/3/def,stats/1/3/res,stats/40/2/hp/0,stats/40/2/hp/1,stats/40/2/hp/2,stats/40/2/atk/0,stats/40/2/atk/1,stats/40/2/atk/2,stats/40/2/spd/0,stats/40/2/spd/1,stats/40/2/spd/2,stats/40/2/def/0,stats/40/2/def/1,stats/40/2/def/2,stats/40/2/res/0,stats/40/2/res/1,stats/40/2/res/2,stats/40/3/hp/0,stats/40/3/hp/1,stats/40/3/hp/2,stats/40/3/atk/0,stats/40/3/atk/1,stats/40/3/atk/2,stats/40/3/spd/0,stats/40/3/spd/1,stats/40/3/spd/2,stats/40/3/def/0,stats/40/3/def/1,stats/40/3/def/2,stats/40/3/res/0,stats/40/3/res/1,stats/40/3/res/2,skills/6/default,skills/12/name,skills/12/rarity,shortName,stats/1/1/hp,stats/1/1/atk,stats/1/1/spd,stats/1/1/def,stats/1/1/res,stats/40/1/hp/0,stats/40/1/hp/1,stats/40/1/hp/2,stats/40/1/atk/0,stats/40/1/atk/1,stats/40/1/atk/2,stats/40/1/spd/0,stats/40/1/spd/1,stats/40/1/spd/2,stats/40/1/def/0,stats/40/1/def/1,stats/40/1/def/2,stats/40/1/res/0,stats/40/1/res/1,stats/40/1/res/2,skills/13/name,skills/13/rarity,skills/14/name,skills/14/rarity
Azura (Performing Arts),Lady of Ballads,Fire Emblem Fates,Green Axe,Infantry,5,"Sep 29, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Azura (Performing Arts).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Azura (Performing Arts).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Azura (Performing Arts).png,Iron Axe,-,-,Steel Axe,-,-,Silver Axe,-,-,Urðr,5,-,Sing,5,-,Triangle Adept 1,,-,Triangle Adept 2,-,Triangle Adept 3,5,Spur Res 1,-,Drive Res 1,-,Drive Res 2,5,,,,,,,,16,6,8,3,6,,,,,,,,,,,,,,,,32,35,39,29,32,35,31,34,37,17,20,23,24,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azura (P),,,,,,,,,,,,,,,,,,,,,,,,
Barst,The Hatchet,Fire Emblem: Mystery of the Emblem,Green Axe,Infantry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Barst.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Barst.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Barst.png,Iron Axe,-,-,Steel Axe,3,-,Brave Axe,4,3,Brave Axe+,-,5,Reposition,4,3,Knock Back,,3,Spur Atk 1,-,Spur Atk 2,3,Spur Atk 3,4,,,,,,,19,9,8,5,3,20,9,8,6,4,40,43,46,28,31,34,27,30,33,24,27,30,12,15,18,43,46,49,30,33,36,29,32,35,27,30,33,13,17,20,,,,,,19,8,7,5,3,,,,,,,,,,,,,,,,39,42,45,26,29,32,25,28,31,23,26,29,11,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartre,Fearless Warrior,Fire Emblem: The Binding Blade,Green Axe,Infantry,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Bartre.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Bartre.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Bartre.png,Iron Axe,-,-,Steel Axe,3,-,Hammer,4,3,Hammer+,-,5,Smite,4,3,Fury 1,,3,Fury 2,4,Fury 3,5,Brash Assault 1,-,Brash Assault 2,3,Brash Assault 3,4,,,20,10,5,7,2,21,10,6,7,3,43,46,49,31,34,37,20,23,26,28,31,34,9,12,15,46,49,52,33,36,39,22,25,29,30,33,36,10,13,17,,,,,,20,9,5,6,2,,,,,,,,,,,,,,,,42,45,48,29,32,35,19,22,25,26,29,32,8,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkut,Prideful Prince,Fire Emblem Echoes: Shadows of Valentia,Blue Lance,Cavalry,3-4,"Jul 18, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Berkut.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Berkut.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Berkut.png,Iron Lance,-,-,Steel Lance,3,-,Berkut's Lance,4,3,Berkut's Lance+,-,5,Rising Flame,4,3,Blazing Flame,-,4,Water Boost 1,-,Water Boost 2,4,Water Boost 3,5,Spur Res 1,-,Spur Res 2,-,Ward Cavalry,4,18,8,4,7,6,19,8,5,7,7,37,40,43,29,32,35,17,20,23,26,29,32,19,22,25,40,43,46,31,34,37,19,22,25,28,31,34,21,24,27,,,,,,18,7,4,6,6,,,,,,,,,,,,,,,,36,39,42,27,30,33,16,19,22,24,27,30,18,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beruka,Quiet Assassin,Fire Emblem Fates,Green Axe,Flying,3-4,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Beruka.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Beruka.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Beruka.png,Iron Axe,-,-,Steel Axe,3,-,Killer Axe,4,3,Killer Axe+,5,5,Night Sky,4,3,Glimmer,-,4,Defiant Def 1,-,Defiant Def 2,3,Defiant Def 3,4,Lunge,3,,,,,19,7,5,9,4,20,7,6,9,5,40,43,46,24,27,30,18,21,24,32,35,38,17,20,23,43,46,49,25,29,32,20,23,26,34,37,40,19,22,25,,,,,,19,6,5,8,4,,,,,,,,,,,,,,,,39,42,45,22,25,28,17,20,23,30,33,36,16,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Knight,Sinister General,Fire Emblem: Path of Radiance,Red Sword,Armored,4-5,"Sep 23, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Black Knight.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Black Knight.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Black Knight.png,Iron Sword,-,-,Steel Sword,-,-,Silver Sword,4,-,Alondite,5,5,New Moon,4,-,Luna,-,4,Black Luna,5,Steady Stance 1,-,Steady Stance 2,4,Steady Stance 3,5,Wings of Mercy 1,-,Wings of Mercy 2,-,21,10,7,9,4,22,10,8,9,5,42,45,48,29,32,35,28,31,34,30,33,36,13,16,19,45,48,51,31,34,37,31,34,37,32,35,38,14,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Wings of Mercy 3,4,,,,,,,,,,,,,,,,,,,,,,,,,
Boey,Skillful Survivor,Fire Emblem Echoes: Shadows of Valentia,Green Tome,Infantry,4-5,"May 15, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Boey.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Boey.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Boey.png,Wind,-,-,Elwind,-,-,Gronnowl,4,-,Gronnowl+,5,5,Glowing Ember,4,-,Ignis,-,4,Earth Boost 1,-,Earth Boost 2,-,Earth Boost 3,4,Renewal 1,-,Renewal 2,4,Renewal 3,5,18,7,4,8,4,19,7,5,8,5,37,40,43,24,27,30,21,24,27,27,30,33,13,16,19,40,43,46,25,29,32,23,27,30,29,32,35,14,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno,Masked Knight,Fire Emblem Heroes,Blue Tome,Cavalry,N/A,N/A,https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Bruno.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Bruno.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Bruno.png,Thunder,1,-,Elthunder,3,2,Thoron,4,3,Valaskjálf,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caeda,Talys's Heart,Fire Emblem: Mystery of the Emblem,Red Sword,Flying,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Caeda.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Caeda.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Caeda.png,Iron Sword,-,-,Steel Sword,-,-,Armorslayer,4,-,Armorslayer+,5,5,Rally Speed,4,-,Darting Blow 1,,-,Darting Blow 2,4,Darting Blow 3,5,Fortify Res 1,-,Fortify Res 2,-,Fortify Fliers,4,,,16,5,9,4,10,17,6,9,5,10,31,34,37,20,23,26,32,35,38,19,22,25,29,32,35,33,36,40,22,25,29,34,37,40,21,24,28,31,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caeda (Bridal Blessings),Talys's Bride,Fire Emblem: Mystery of the Emblem,Blue Tome,Infantry,5,"May 30, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Caeda (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Caeda (Bridal Blessings).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Caeda (Bridal Blessings).png,Thunder,-,-,Elthunder,-,-,Blessed Bouquet,-,-,Blessed Bouquet+,5,-,Chilling Wind,5,-,Iceberg,-,5,Resistance +1,-,Attack Res 1,-,Attack Res 2,5,Hone Spd 1,-,Hone Spd 2,-,Hone Spd 3,5,,,,,,16,7,9,4,8,,,,,,,,,,,,,,,,30,33,36,25,29,32,34,37,40,16,19,22,26,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caeda (B),,,,,,,,,,,,,,,,,,,,,,,,
Cain,The Bull,Fire Emblem: Mystery of the Emblem,Red Sword,Cavalry,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Cain.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Cain.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Cain.png,Iron Sword,-,-,Steel Sword,-,-,Brave Sword,4,-,Brave Sword+,5,5,Buckler,4,-,Escutcheon,-,4,Wings of Mercy 1,-,Wings of Mercy 2,-,Wings of Mercy 3,4,Threaten Atk 1,-,Threaten Atk 2,4,Threaten Atk 3,5,17,8,5,8,5,18,8,6,8,6,36,39,42,27,30,33,26,29,32,23,26,29,16,19,22,39,42,45,29,32,35,29,32,35,24,27,31,18,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilla,Bewitching Beauty,Fire Emblem Fates,Green Axe,Flying,4-5,"Feb 02, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Camilla.png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Camilla.png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Camilla.png,Iron Axe,-,-,Steel Axe,-,-,Brave Axe,4,-,Brave Axe+,5,5,Dragon Gaze,4,-,Draconic Aura,-,4,Darting Blow 1,-,Darting Blow 2,4,Darting Blow 3,5,Savage Blow 1,-,Savage Blow 2,-,Savage Blow 3,4,17,8,8,5,6,18,8,8,6,7,32,35,38,25,28,31,27,30,33,22,25,28,25,28,31,34,37,41,26,30,33,29,32,35,24,28,31,28,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilla (Spring Festival),Spring Princess,Fire Emblem Fates,Green Tome,Flying,5,"Mar 30, 2017",https://proving-grounds-static.ajhyndman.com/75px-Icon_Portrait_Camilla (Spring Festival).png,https://proving-grounds-static.ajhyndman.com/113px-Icon_Portrait_Camilla (Spring Festival).png,https://proving-grounds-static.ajhyndman.com/150px-Icon_Portrait_Camilla (Spring Festival).png,Wind,-,-,Elwind,-,-,Green Egg,-,-,Green Egg+,5,-,Rally Attack,5,-,Defiant Spd 1,,-,Defiant Spd 2,-,Defiant Spd 3,5,Live for Bounty,5,,,,,,,,,,,,17,9,6,8,4,,,,,,,,,,,,,,,,35,39,42,32,35,38,22,25,29,26,30,33,16,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camilla (S),,,,,,,,,,,,,,,,,,,,,,,,
